id,latitude,longitude,thumb_original_url,country,sequence,captured_at,lon_bin,lat_bin,cell,land_cover,road_index,drive_side,climate,soil,dist_sea,region,sub-region,city,unique_city,unique_sub-region,unique_region,unique_country,quadtree_10_1000,creator_username,creator_id
304083577920222,-32.653583333333,139.45313889611,https://scontent-cdg4-3.xx.fbcdn.net/m1/v/t6/An8KQ83V_dS67rGZc9qHPVyzx6nsQxbXos52a3LmHJ0GwVBXS5mZ8rYm5UBWrqaSwp_8WFmLz87GgHtMwds2lHOEXxKBRisxXUtWHXNYPqvX5zCGmqWMJJPCt8yFs7nhefUukuoLNUnAxtZ29WOLkA?ccb=10-5&oh=00_AfCWhzOKEAGm5TTp-V5sSLiU9i7-9t0z3N98MSlZrOBm_w&oe=650F43B6&_nc_sid=201bca,AU,EYATnIn_KJBZeGd2hJnqpA,1542712598000,88,16,"(88, 16)",8,4.8137784,1,5,9,0.9580448242708438,South Australia,Peterborough,Peterborough,Peterborough_Peterborough_South Australia_AU,Peterborough_South Australia_AU,South Australia_AU,AU,1251,bob3bob3,102850585292065.0
738783853483361,56.321770221237,111.25361906811,https://scontent-cdg4-1.xx.fbcdn.net/m1/v/t6/An_XMpuYvXLwIHWhhsDufY09RueF2p_gUziBkNun37v3p1A75DjvfFe_x0l5O6ebS0mN-0xiIFzHMUtwKCDCKp5GPstURYkZRgdxy80hMOXfLtduVT-sdAW2UbG1Ur_A5dqVTyd9gy53HsjD5gpwpQ?ccb=10-5&oh=00_AfBcZPPAui045jkhd_aofaebHWfoZp168IysAj7dSTfPCg&oe=650F5931&_nc_sid=201bca,RU,t5whc4G86JRCiVP_Rr-9zw,1563977199000,80,82,"(80, 82)",9,2.896594048,0,29,0,0.8164107849719727,Respublika Buryatiya,,Novyy Uoyan,Novyy Uoyan_NaN_Respublika Buryatiya_RU,,Respublika Buryatiya_RU,RU,11389,yuriyb,104440491798876.0
1667487426784084,54.294309258377,40.591307989068,https://scontent-cdg4-1.xx.fbcdn.net/m1/v/t6/An_XbnJMWMXVvRgc71rjwWBr8EB_qd9Sr2NIMYih2abQtL157fEGNrJHtFXcb5LPBJciXf-bbWdscKeU2hhLo--VoKXwPk42rQcVh7g2YnMUs7IWLwLAO_1Am2NdD0PE95sC9CZWasJZpJhpLektgA?ccb=10-5&oh=00_AfAqv2M3-v2YwOaTiDkVS6GAcKFZULfdRjw7vN12P6OKIA&oe=650F8332&_nc_sid=201bca,RU,rfrplfdtx3gp2pm4dj589h,1598431615500,60,80,"(60, 80)",4,2.896594048,0,26,7,0.999998687927771,Rjazan,,Lesnoy,Lesnoy_NaN_Rjazan_RU,,Rjazan_RU,RU,10740,a525ao37,109090277992398.0
764120344297631,40.461268849181,-99.379158009445,https://scontent-cdg4-1.xx.fbcdn.net/m1/v/t6/An9H4X3omSI0Q8eDK5C6GKf2nn1Gs8y91VPueIBHc9OJvfj1lYGbOGf6M6BTgnG8WOyx3Dt0wuguG4wqNGD7eV4i1iSyboXlvxy8-IUNVs_aOCLdLd2iUitM_hmlZ9JBknQkJAvuK-vzrw1vgpAIZQ?ccb=10-5&oh=00_AfCKjjnDOqeRW-FGK-pwcdCCm9OYkaw5puO3MolL718c4A&oe=650F0F8B&_nc_sid=201bca,US,Fg04hDMYF6yFzrjimvleHA,1437921233000,21,70,"(21, 70)",2,5.733500481,0,25,9,0.9999999999718532,Nebraska,Phelps County,Holdrege,Holdrege_Phelps County_Nebraska_US,Phelps County_Nebraska_US,Nebraska_US,US,2906,toebee,109690297925681.0
301803248313765,38.923626136326,-7.3164270351947,https://scontent-cdg4-1.xx.fbcdn.net/m1/v/t6/An_z0lEZqQcrGTBtyUif6GlAvjI_4Ws3LJwjxxGRWLtF-AD7wTgWAwBblOn1embd-dqxIMEub4nkRYMUI-U5amU083qnvX72tNRbuAV10vumTHxPetywuZBh48T16bKqsLzK05rGhwSe84mF2loHnAM?ccb=10-5&oh=00_AfDpRuGzcEELq-MsdV2SGWiv9R6HByriKJWT1Dg4IfhqOw&oe=650F8708&_nc_sid=201bca,PT,b2pv9g82g5r181egt2ixez,1601397035752,47,69,"(47, 69)",2,6.01683569,0,8,3,0.8651556136155835,Portalegre,Elvas,Elvas,Elvas_Elvas_Portalegre_PT,Elvas_Portalegre_PT,Portalegre_PT,PT,4780,filohipo,100340685549633.0
302879798172582,9.1192515175789,80.451639833324,https://scontent-cdg4-1.xx.fbcdn.net/m1/v/t6/An-f4HdsNZUAmAFk-ziMKivz2bJmDHxape7CXrw-0RMySADPC9EyF0EBl9B-F_Wjr3-9JlHvXN6V1bT_w9PQqIUbCFDQR51Q4WAqh8QYUKb-vUkbvXoTaQkIki3Jo8mAIEtEMpundw3j5ZvcR1BLFTY?ccb=10-5&oh=00_AfBCwXhTQI33FpA_Hs673XsSMDjLDMNqwKdY3BXhnDvlmA&oe=650F2B79&_nc_sid=201bca,LK,dsisthhjgzigaihhxuj6qd,1536010982433,71,47,"(71, 47)",2,4.204285622,1,3,9,0.3662324331533194,Northern Province,,Kilinochchi,Kilinochchi_NaN_Northern Province_LK,,Northern Province_LK,LK,1668,suthakaran,103076481931723.0
923498788447825,45.954844650266,1.1751086050402,https://scontent-cdg4-3.xx.fbcdn.net/m1/v/t6/An_H2c-lrfsmi6s5vEJ9yoJ7cJphppG9G_ZO-L8IB02p5K66GEnYlrej05glHYYnot4z11pe_ypMlrv5x6u-tmuVu6EvMhrE7hjuJdjHMVzUk9u3e1XO2I700eR4nAekTogSdDWcZ9HyVFk9kAWMhw?ccb=10-5&oh=00_AfCE_VGlGEVea_rWD_8H951Lu786EsMMdztOiwyuppshYQ&oe=650EDFFF&_nc_sid=201bca,FR,n9e2m754gz72vo7h8ll3qo,1438774424000,49,74,"(49, 74)",3,6.04993391,0,15,9,0.9334335294406144,Limousin,Departement de la Haute-Vienne,Nieul,Nieul_Departement de la Haute-Vienne_Limousin_FR,Departement de la Haute-Vienne_Limousin_FR,Limousin_FR,FR,8243,stephanep,103660335205512.0
3963906250356949,-22.982527778423,117.47944444346,https://scontent-cdg4-1.xx.fbcdn.net/m1/v/t6/An-nor7MAoMAUOmkbfpONTyoqBv7Tm9v-lpR17HcdLKBIy0CjgU_sUt5-k2t5kRLTFWLSmU8kscH972uN_--v8QjSEhVJq_KzQ6NCS808f2O4clOs2qiISwvtsL0CWJ2_aLS_6ZvH6YP9nZbrVZMZJQ?ccb=10-5&oh=00_AfCh-wmgImhXUKnutSrk8vbDhYbUGLfJasVa8azeg827OQ&oe=650F1F57&_nc_sid=201bca,AU,7P3ygbenSs6RROeCm9gMxw,1494507218000,81,23,"(81, 23)",8,4.8137784,1,4,12,0.9533480038078508,Western Australia,Ashburton,Tom Price,Tom Price_Ashburton_Western Australia_AU,Ashburton_Western Australia_AU,Western Australia_AU,AU,1095,bob3bob3,102850585292065.0
775435110030867,-29.879067495569,-51.234597073453,https://scontent-cdg4-1.xx.fbcdn.net/m1/v/t6/An8EBA9be66mqKDntyY0voY47A-uHmt5Ggp4pcaA9zNKTr173Vt1rGOptcbRb35dNESh8QUCRbtegEJ5KsZ3fC64jWtrHdSzUYMmi8CCoP8r3G1zT6RT9K4e6slIq_DncGBcryRNnIQiai90vAYlwg?ccb=10-5&oh=00_AfCRbrwNd2z53zhJTh1lcQPGXBeapZs07cTU8TULUHmGvg&oe=650F27AF&_nc_sid=201bca,BR,U69ZVLNVQQSZ4eO0C9TWLQ,1533831049066,34,18,"(34, 18)",2,3.115480423,0,14,9,0.134693774203625,Rio Grande do Sul,Esteio,Esteio,Esteio_Esteio_Rio Grande do Sul_BR,Esteio_Rio Grande do Sul_BR,Rio Grande do Sul_BR,BR,126,roadroid,111336221091714.0
2057366217739411,23.274160447553,79.986495247249,https://scontent-cdg4-3.xx.fbcdn.net/m1/v/t6/An_bOuZNH0Mm4HvBM4Dx70E3ZmON_2fizBCIVh_Drx1FDNsJEuJleLdD84UvCIgvt0UlbLFTEZZnF3luK0sUAF2l59xVgmd3bgr-RQ8XvUrW9FvRXykPax_WD2q0g7HIP2jcqFctAgxF_AhTPATsLGs?ccb=10-5&oh=00_AfCAqjaRbmccoZ50TJyZIkz5EapbB8EuJiyzI_uTtU0-Ng&oe=650F18E6&_nc_sid=201bca,IN,0Nrt1Dlwz-lYCa2qnIfhAQ,1506705857000,71,57,"(71, 57)",2,4.311433792,1,3,3,0.9999970070423776,Madhya Pradesh,Jabalpur,Panagar,Panagar_Jabalpur_Madhya Pradesh_IN,Jabalpur_Madhya Pradesh_IN,Madhya Pradesh_IN,IN,6165,geohacker,108948641335888.0
